k1,k2,k3,p,value
0.001,0.251,0.751,0.06157894736842105,0.9722480562854905
0.001,0.251,0.751,0.11315789473684211,0.9376508242066426
0.001,0.251,0.751,0.16473684210526315,0.9153667993718013
0.001,0.251,0.751,0.2163157894736842,0.9021869922369361
0.001,0.251,0.751,0.26789473684210524,0.8957324566134388
0.001,0.251,0.751,0.3194736842105263,0.8941713807654299
0.001,0.251,0.751,0.37105263157894736,0.8960560901183672
0.001,0.251,0.751,0.4226315789473684,0.900234221798089
0.001,0.251,0.751,0.47421052631578947,0.9058060770186742
0.001,0.251,0.751,0.5257894736842105,0.912109565218902
0.001,0.251,0.751,0.5773684210526315,0.9187200004946199
0.001,0.251,0.751,0.6289473684210526,0.9254569569008808
0.001,0.251,0.751,0.6805263157894736,0.9323960033545973
0.001,0.251,0.751,0.7321052631578947,0.9398908400260524
0.001,0.251,0.751,0.7836842105263158,0.94862438897845
0.001,0.251,0.751,0.8352631578947368,0.9597371654671769
0.001,0.251,0.751,0.8868421052631579,0.975176106698155
0.001,0.251,0.751,0.9384210526315789,0.9988505785830948
0.001,0.251,0.751,0.99,1.0438539770331885
0.001,0.251,0.876,0.01,1.0210728281130992
0.001,0.251,0.876,0.06157894736842105,0.9705380694795247
0.001,0.251,0.876,0.11315789473684211,0.9365116976689771
0.001,0.251,0.876,0.16473684210526315,0.9145995448796373
0.001,0.251,0.876,0.2163157894736842,0.9016670416015935
0.001,0.251,0.876,0.26789473684210524,0.8953797387335114
0.001,0.251,0.876,0.3194736842105263,0.8939332142870793
0.001,0.251,0.876,0.37105263157894736,0.8958971052468394
0.001,0.251,0.876,0.4226315789473684,0.9001302622565563
0.001,0.251,0.876,0.47421052631578947,0.9057404191782319
0.001,0.251,0.876,0.5257894736842105,0.9120705188824285
0.001,0.251,0.876,0.5773684210526315,0.9186993506337497
0.001,0.251,0.876,0.6289473684210526,0.925448926824715
0.001,0.251,0.876,0.6805263157894736,0.9323965473648141
0.001,0.251,0.876,0.7321052631578947,0.939897148982463
0.001,0.251,0.876,0.7836842105263158,0.9486345373990757
