k1,k2,k3,p,r,value
0.01,0.08,0.15,0.29,0.5503875968992248,0.4025694495002543
0.01,0.08,0.15,0.36,0.4705882352941177,0.448673988502162
0.01,0.08,0.15,0.43,0.39860139860139865,0.4889658656366338
0.01,0.08,0.15,0.5,0.3333333333333333,0.5225200743369678
0.01,0.08,0.15,0.57,0.2738853503184714,0.5486587574815818
0.01,0.08,0.15,0.64,0.2195121951219512,0.5668867192429738
0.01,0.08,0.15,0.71,0.16959064327485382,0.5768049967799236
0.01,0.08,0.15,0.78,0.12359550561797751,0.5779777838307818
0.01,0.08,0.15,0.85,0.08108108108108109,0.5696692964265653
0.01,0.08,0.15,0.92,0.04166666666666665,0.550081272887456
0.01,0.08,0.15,0.99,0.005025125628140708,0.5112929254693874
0.01,0.08,0.22,0.01,0.9801980198019802,0.19042273070399074
0.01,0.08,0.22,0.08,0.8518518518518519,0.24404781964475064
0.01,0.08,0.22,0.15,0.7391304347826088,0.298738932954399
0.01,0.08,0.22,0.22,0.639344262295082,0.35231014762816937
0.01,0.08,0.22,0.29,0.5503875968992248,0.4028754829231165
0.01,0.08,0.22,0.36,0.4705882352941177,0.4488818631808764
0.01,0.08,0.22,0.43,0.39860139860139865,0.4891028339695396
0.01,0.08,0.22,0.5,0.3333333333333333,0.5226076056670641
0.01,0.08,0.22,0.57,0.2738853503184714,0.5487128868154381
0.01,0.08,0.22,0.64,0.2195121951219512,0.5669189353508277
0.01,0.08,0.22,0.71,0.16959064327485382,0.5768232539061642
0.01,0.08,0.22,0.78,0.12359550561797751,0.5779874275685519
0.01,0.08,0.22,0.85,0.08108108108108109,0.5696738226777938
0.01,0.08,0.22,0.92,0.04166666666666665,0.5500829092054982
0.01,0.08,0.22,0.99,0.005025125628140708,0.5112930596043543
0.01,0.08,0.29,0.01,0.9801980198019802,0.19130287229180398
0.01,0.08,0.29,0.08,0.8518518518518519,0.24473224476637223
0.01,0.08,0.29,0.15,0.7391304347826088,0.299247455109495
0.01,0.08,0.29,0.22,0.639344262295082,0.35267360442696805
0.01,0.08,0.29,0.29,0.5503875968992248,0.4031265470230905
0.01,0.08,0.29,0.36,0.4705882352941177,0.4490499699046959
0.01,0.08,0.29,0.43,0.39860139860139865,0.4892120902732502
0.01,0.08,0.29,0.5,0.3333333333333333,0.5226765075567752
0.01,0.08,0.29,0.57,0.2738853503184714,0.548754948740668
0.01,0.08,0.29,0.64,0.2195121951219512,0.56694365453738
0.01,0.08,0.29,0.71,0.16959064327485382,0.5768370894306942
0.01,0.08,0.29,0.78,0.12359550561797751,0.5779946469327744
0.01,0.08,0.29,0.85,0.08108108108108109,0.5696771705377084
0.01,0.08,0.29,0.92,0.04166666666666665,0.5500841052732119
0.01,0.08,0.29,0.99,0.005025125628140708,0.5112931565157361
0.01,0.08,0.36,0.01,0.9801980198019802,0.19210163010990633
0.01,0.08,0.36,0.08,0.8518518518518519,0.2453438723367546
0.01,0.08,0.36,0.15,0.7391304347826088,0.29969576893174943
0.01,0.08,0.36,0.22,0.639344262295082,0.3529901381324625
0.01,0.08,0.36,0.29,0.5503875968992248,0.4033427502709508
0.01,0.08,0.36,0.36,0.4705882352941177,0.4491932102161096
0.01,0.08,0.36,0.43,0.39860139860139865,0.48930424818776874
0.01,0.08,0.36,0.5,0.3333333333333333,0.5227340601579387
0.01,0.08,0.36,0.57,0.2738853503184714,0.5487897481396966
0.01,0.08,0.36,0.64,0.2195121951219512,0.566963914649637
0.01,0.08,0.36,0.71,0.16959064327485382,0.5768483249039194
0.01,0.08,0.36,0.78,0.12359550561797751,0.5780004564529122
